variant,encoding,guard_mode,scope,raw_tokens,compact_tokens,saved_tokens,saved_percent,changed_segments_unguarded,raw_words,compact_words_unguarded,raw_characters,compact_characters_unguarded,bare_p50_ms,bare_p95_ms,bare_p99_ms,bare_max_ms,guard_only_p95_ms,compression_plus_guard_p95_ms
raw,cl100k_base,unguarded,standalone_segments_sum,1097,1097,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,cl100k_base,unguarded,complete_session_prompt,1243,1243,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,cl100k_base,unguarded,separately_wrapped_segment_prompts_sum,4813,4813,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,cl100k_base,standalone_positive_guard,standalone_segments_sum,1097,1097,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,cl100k_base,standalone_positive_guard,complete_session_prompt,1243,1243,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,cl100k_base,standalone_positive_guard,separately_wrapped_segment_prompts_sum,4813,4813,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.006011,0.006482
raw,o200k_base,unguarded,standalone_segments_sum,1041,1041,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
raw,o200k_base,unguarded,complete_session_prompt,1183,1183,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
raw,o200k_base,unguarded,separately_wrapped_segment_prompts_sum,4651,4651,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
raw,o200k_base,standalone_positive_guard,standalone_segments_sum,1041,1041,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
raw,o200k_base,standalone_positive_guard,complete_session_prompt,1183,1183,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
raw,o200k_base,standalone_positive_guard,separately_wrapped_segment_prompts_sum,4651,4651,0,0,0,824,824,3947,3947,0.000481,0.000591,0.001032,0.025739,0.003707,0.004168
minimal,cl100k_base,unguarded,standalone_segments_sum,1097,1097,0,0,0,824,824,3947,3947,0.001413,0.002324,0.003427,1.987967,0.006042,0.007574
minimal,cl100k_base,unguarded,complete_session_prompt,1243,1243,0,0,0,824,824,3947,3947,0.001413,0.002324,0.003427,1.987967,0.006042,0.007574
minimal,cl100k_base,unguarded,separately_wrapped_segment_prompts_sum,4813,4813,0,0,0,824,824,3947,3947,0.001413,0.002324,0.003427,1.987967,0.006042,0.007574
